p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.06128036,0.04517134,0.0467623,0.05267229,0.06164743,0.06301697,0.03260032,0.03407015,0.05543901,0.04984264,0.06920894,0.05824255,0.07576745,0.04892969,0.03335503,long_blink
0.06301697,0.03260032,0.03407015,0.05543901,0.04984264,0.06920894,0.05824255,0.07576745,0.04892969,0.03335503,0.05787482,0.04967376,0.04791856,0.06723468,0.06311159,long_blink
0.06920894,0.05824255,0.07576745,0.04892969,0.03335503,0.05787482,0.04967376,0.04791856,0.06723468,0.06311159,0.05482302,0.04511998,0.0428994,0.05087029,0.05389566,long_blink
0.05787482,0.04967376,0.04791856,0.06723468,0.06311159,0.05482302,0.04511998,0.0428994,0.05087029,0.05389566,0.06735349,0.09063817,0.06657417,0.03712571,0.06784041,long_blink
0.05482302,0.04511998,0.0428994,0.05087029,0.05389566,0.06735349,0.09063817,0.06657417,0.03712571,0.06784041,0.05344209,0.0588801,0.07360638,0.0691219,0.06029149,long_blink
0.06735349,0.09063817,0.06657417,0.03712571,0.06784041,0.05344209,0.0588801,0.07360638,0.0691219,0.06029149,0.04177091,0.05116275,0.04638156,0.05120933,0.05474788,long_blink
0.05344209,0.0588801,0.07360638,0.0691219,0.06029149,0.04177091,0.05116275,0.04638156,0.05120933,0.05474788,0.04321182,0.04246591,0.05396207,0.06569426,0.06587545,long_blink
0.04177091,0.05116275,0.04638156,0.05120933,0.05474788,0.04321182,0.04246591,0.05396207,0.06569426,0.06587545,0.05161691,0.04902296,0.04793588,0.05999786,0.06391506,long_blink
0.04321182,0.04246591,0.05396207,0.06569426,0.06587545,0.05161691,0.04902296,0.04793588,0.05999786,0.06391506,0.06446846,0.06460083,0.05697641,0.06673191,0.06300744,long_blink
0.05161691,0.04902296,0.04793588,0.05999786,0.06391506,0.06446846,0.06460083,0.05697641,0.06673191,0.06300744,0.069382,0.06432805,0.05835993,0.06472668,0.07019153,long_blink
0.06446846,0.06460083,0.05697641,0.06673191,0.06300744,0.069382,0.06432805,0.05835993,0.06472668,0.07019153,0.07201261,0.05119774,0.06090005,0.05787838,0.05247257,long_blink
0.069382,0.06432805,0.05835993,0.06472668,0.07019153,0.07201261,0.05119774,0.06090005,0.05787838,0.05247257,0.04423177,0.05568789,0.05553551,0.05625868,0.07358632,long_blink
0.07201261,0.05119774,0.06090005,0.05787838,0.05247257,0.04423177,0.05568789,0.05553551,0.05625868,0.07358632,0.06847864,0.0682796,0.04565235,0.0542105,0.07033058,long_blink
0.04423177,0.05568789,0.05553551,0.05625868,0.07358632,0.06847864,0.0682796,0.04565235,0.0542105,0.07033058,0.05530654,0.0599901,0.059535,0.06555268,0.05159195,long_blink
0.06847864,0.0682796,0.04565235,0.0542105,0.07033058,0.05530654,0.0599901,0.059535,0.06555268,0.05159195,0.05860718,0.05023115,0.04289888,0.04479763,0.04692414,long_blink
0.05530654,0.0599901,0.059535,0.06555268,0.05159195,0.05860718,0.05023115,0.04289888,0.04479763,0.04692414,0.05531698,0.04928717,0.03708415,0.03631406,0.05441662,long_blink
0.05860718,0.05023115,0.04289888,0.04479763,0.04692414,0.05531698,0.04928717,0.03708415,0.03631406,0.05441662,0.0366496,0.05633787,0.03273732,0.03199731,0.03893531,long_blink
0.05531698,0.04928717,0.03708415,0.03631406,0.05441662,0.0366496,0.05633787,0.03273732,0.03199731,0.03893531,0.0606376,0.0585797,0.04319468,0.04864068,0.04332051,long_blink
0.0366496,0.05633787,0.03273732,0.03199731,0.03893531,0.0606376,0.0585797,0.04319468,0.04864068,0.04332051,0.02805278,0.03186835,0.03350264,0.03789277,0.03431697,long_blink
0.0606376,0.0585797,0.04319468,0.04864068,0.04332051,0.02805278,0.03186835,0.03350264,0.03789277,0.03431697,0.05129134,0.05273859,0.03916521,0.03569403,0.03849218,long_blink
0.02805278,0.03186835,0.03350264,0.03789277,0.03431697,0.05129134,0.05273859,0.03916521,0.03569403,0.03849218,0.03741309,0.05935313,0.04150833,0.04988738,0.04156196,long_blink
0.05129134,0.05273859,0.03916521,0.03569403,0.03849218,0.03741309,0.05935313,0.04150833,0.04988738,0.04156196,0.05050608,0.05651847,0.05746963,0.04639519,0.05393041,long_blink
0.03741309,0.05935313,0.04150833,0.04988738,0.04156196,0.05050608,0.05651847,0.05746963,0.04639519,0.05393041,0.04618451,0.0514739,0.04155675,0.04345791,0.06361889,long_blink
0.05050608,0.05651847,0.05746963,0.04639519,0.05393041,0.04618451,0.0514739,0.04155675,0.04345791,0.06361889,0.05334392,0.04078015,0.02865774,0.04177433,0.05788576,long_blink
0.04618451,0.0514739,0.04155675,0.04345791,0.06361889,0.05334392,0.04078015,0.02865774,0.04177433,0.05788576,0.04889382,0.07207332,0.07324962,0.06078616,0.0439724,long_blink
0.05334392,0.04078015,0.02865774,0.04177433,0.05788576,0.04889382,0.07207332,0.07324962,0.06078616,0.0439724,0.03363052,0.04857421,0.05210972,0.04471068,0.04423357,long_blink
0.04889382,0.07207332,0.07324962,0.06078616,0.0439724,0.03363052,0.04857421,0.05210972,0.04471068,0.04423357,0.03229661,0.03732106,0.05183041,0.03562516,0.04465922,long_blink
0.03363052,0.04857421,0.05210972,0.04471068,0.04423357,0.03229661,0.03732106,0.05183041,0.03562516,0.04465922,0.02920895,0.05590999,0.05813773,0.05208809,0.06917038,long_blink
0.03229661,0.03732106,0.05183041,0.03562516,0.04465922,0.02920895,0.05590999,0.05813773,0.05208809,0.06917038,0.06911292,0.04921337,0.03453307,0.0220352,0.04628144,long_blink
0.02920895,0.05590999,0.05813773,0.05208809,0.06917038,0.06911292,0.04921337,0.03453307,0.0220352,0.04628144,0.05937544,0.04135728,0.04605837,0.06036584,0.07188631,long_blink
0.06911292,0.04921337,0.03453307,0.0220352,0.04628144,0.05937544,0.04135728,0.04605837,0.06036584,0.07188631,0.06036366,0.0615516,0.03920755,0.04530942,0.0439724,long_blink
0.05937544,0.04135728,0.04605837,0.06036584,0.07188631,0.06036366,0.0615516,0.03920755,0.04530942,0.0439724,0.04249668,0.05100458,0.07787594,0.04740971,0.04849602,long_blink
0.06036366,0.0615516,0.03920755,0.04530942,0.0439724,0.04249668,0.05100458,0.07787594,0.04740971,0.04849602,0.06747671,0.0853431,0.04817875,0.0372639,0.04497919,long_blink
0.04249668,0.05100458,0.07787594,0.04740971,0.04849602,0.06747671,0.0853431,0.04817875,0.0372639,0.04497919,0.07096647,0.07704695,0.04467844,0.05869174,0.04863442,long_blink
