p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,category
0.039079198,0.089856978,0.097451898,0.057727835,0.060995555,0.072105713,0.046879256,0.070562742,0.060175344,0.062067887,0.061280363,0.045171338,0.0467623,0.052672286,0.061647429,long_blink
0.072105713,0.046879256,0.070562742,0.060175344,0.062067887,0.061280363,0.045171338,0.0467623,0.052672286,0.061647429,0.063016971,0.032600318,0.034070154,0.055439007,0.04984264,long_blink
0.061280363,0.045171338,0.0467623,0.052672286,0.061647429,0.063016971,0.032600318,0.034070154,0.055439007,0.04984264,0.069208936,0.058242545,0.075767446,0.048929686,0.033355027,long_blink
0.063016971,0.032600318,0.034070154,0.055439007,0.04984264,0.069208936,0.058242545,0.075767446,0.048929686,0.033355027,0.057874816,0.049673762,0.047918562,0.067234679,0.063111588,long_blink
0.069208936,0.058242545,0.075767446,0.048929686,0.033355027,0.057874816,0.049673762,0.047918562,0.067234679,0.063111588,0.054823018,0.045119984,0.042899396,0.050870288,0.053895662,long_blink
0.057874816,0.049673762,0.047918562,0.067234679,0.063111588,0.054823018,0.045119984,0.042899396,0.050870288,0.053895662,0.067353489,0.090638166,0.066574166,0.037125709,0.067840414,long_blink
0.054823018,0.045119984,0.042899396,0.050870288,0.053895662,0.067353489,0.090638166,0.066574166,0.037125709,0.067840414,0.053442087,0.058880104,0.073606385,0.0691219,0.060291487,long_blink
0.067353489,0.090638166,0.066574166,0.037125709,0.067840414,0.053442087,0.058880104,0.073606385,0.0691219,0.060291487,0.041770906,0.051162754,0.04638156,0.051209329,0.054747882,long_blink
0.053442087,0.058880104,0.073606385,0.0691219,0.060291487,0.041770906,0.051162754,0.04638156,0.051209329,0.054747882,0.043211818,0.042465914,0.053962073,0.065694257,0.065875453,long_blink
0.041770906,0.051162754,0.04638156,0.051209329,0.054747882,0.043211818,0.042465914,0.053962073,0.065694257,0.065875453,0.051616908,0.04902296,0.047935883,0.059997861,0.063915058,long_blink
0.043211818,0.042465914,0.053962073,0.065694257,0.065875453,0.051616908,0.04902296,0.047935883,0.059997861,0.063915058,0.064468457,0.064600826,0.056976413,0.066731911,0.063007437,long_blink
0.051616908,0.04902296,0.047935883,0.059997861,0.063915058,0.064468457,0.064600826,0.056976413,0.066731911,0.063007437,0.069382001,0.064328047,0.058359934,0.064726675,0.070191534,long_blink
0.064468457,0.064600826,0.056976413,0.066731911,0.063007437,0.069382001,0.064328047,0.058359934,0.064726675,0.070191534,0.072012608,0.051197744,0.060900048,0.057878379,0.052472565,long_blink
0.069382001,0.064328047,0.058359934,0.064726675,0.070191534,0.072012608,0.051197744,0.060900048,0.057878379,0.052472565,0.044231769,0.055687887,0.055535509,0.056258684,0.073586317,long_blink
0.072012608,0.051197744,0.060900048,0.057878379,0.052472565,0.044231769,0.055687887,0.055535509,0.056258684,0.073586317,0.068478641,0.068279598,0.045652347,0.0542105,0.070330577,long_blink
0.044231769,0.055687887,0.055535509,0.056258684,0.073586317,0.068478641,0.068279598,0.045652347,0.0542105,0.070330577,0.05530654,0.059990104,0.059535003,0.065552685,0.051591947,long_blink
0.068478641,0.068279598,0.045652347,0.0542105,0.070330577,0.05530654,0.059990104,0.059535003,0.065552685,0.051591947,0.058607182,0.050231155,0.04289888,0.044797627,0.046924143,long_blink
0.05530654,0.059990104,0.059535003,0.065552685,0.051591947,0.058607182,0.050231155,0.04289888,0.044797627,0.046924143,0.055316984,0.049287169,0.037084154,0.036314065,0.054416616,long_blink
0.058607182,0.050231155,0.04289888,0.044797627,0.046924143,0.055316984,0.049287169,0.037084154,0.036314065,0.054416616,0.036649602,0.056337867,0.03273732,0.031997306,0.038935307,long_blink
0.055316984,0.049287169,0.037084154,0.036314065,0.054416616,0.036649602,0.056337867,0.03273732,0.031997306,0.038935307,0.060637597,0.058579695,0.043194682,0.048640685,0.043320509,long_blink
0.036649602,0.056337867,0.03273732,0.031997306,0.038935307,0.060637597,0.058579695,0.043194682,0.048640685,0.043320509,0.028052776,0.031868349,0.033502644,0.037892765,0.034316973,long_blink
0.060637597,0.058579695,0.043194682,0.048640685,0.043320509,0.028052776,0.031868349,0.033502644,0.037892765,0.034316973,0.051291336,0.052738593,0.039165207,0.035694026,0.038492178,long_blink
0.028052776,0.031868349,0.033502644,0.037892765,0.034316973,0.051291336,0.052738593,0.039165207,0.035694026,0.038492178,0.03741309,0.059353129,0.041508329,0.049887385,0.04156196,long_blink
0.051291336,0.052738593,0.039165207,0.035694026,0.038492178,0.03741309,0.059353129,0.041508329,0.049887385,0.04156196,0.050506077,0.056518469,0.057469632,0.046395192,0.05393041,long_blink
0.03741309,0.059353129,0.041508329,0.049887385,0.04156196,0.050506077,0.056518469,0.057469632,0.046395192,0.05393041,0.046184506,0.051473902,0.041556748,0.043457906,0.063618887,long_blink
0.050506077,0.056518469,0.057469632,0.046395192,0.05393041,0.046184506,0.051473902,0.041556748,0.043457906,0.063618887,0.053343925,0.040780149,0.028657742,0.041774335,0.057885757,long_blink
0.046184506,0.051473902,0.041556748,0.043457906,0.063618887,0.053343925,0.040780149,0.028657742,0.041774335,0.057885757,0.04889382,0.072073319,0.073249618,0.060786157,0.043972401,long_blink
0.053343925,0.040780149,0.028657742,0.041774335,0.057885757,0.04889382,0.072073319,0.073249618,0.060786157,0.043972401,0.033630519,0.048574214,0.05210972,0.044710682,0.044233566,long_blink
0.04889382,0.072073319,0.073249618,0.060786157,0.043972401,0.033630519,0.048574214,0.05210972,0.044710682,0.044233566,0.032296608,0.03732106,0.051830412,0.035625164,0.044659215,long_blink
0.033630519,0.048574214,0.05210972,0.044710682,0.044233566,0.032296608,0.03732106,0.051830412,0.035625164,0.044659215,0.029208951,0.055909994,0.058137735,0.052088094,0.069170377,long_blink
0.032296608,0.03732106,0.051830412,0.035625164,0.044659215,0.029208951,0.055909994,0.058137735,0.052088094,0.069170377,0.069112918,0.04921337,0.034533065,0.022035199,0.04628144,long_blink
0.029208951,0.055909994,0.058137735,0.052088094,0.069170377,0.069112918,0.04921337,0.034533065,0.022035199,0.04628144,0.059375443,0.041357281,0.046058371,0.060365839,0.071886315,long_blink
0.069112918,0.04921337,0.034533065,0.022035199,0.04628144,0.059375443,0.041357281,0.046058371,0.060365839,0.071886315,0.060363661,0.061551597,0.039207546,0.045309419,0.043972401,long_blink
0.059375443,0.041357281,0.046058371,0.060365839,0.071886315,0.060363661,0.061551597,0.039207546,0.045309419,0.043972401,0.042496679,0.051004582,0.077875942,0.047409708,0.048496019,long_blink
0.060363661,0.061551597,0.039207546,0.045309419,0.043972401,0.042496679,0.051004582,0.077875942,0.047409708,0.048496019,0.067476711,0.085343101,0.048178754,0.037263903,0.044979185,long_blink
0.042496679,0.051004582,0.077875942,0.047409708,0.048496019,0.067476711,0.085343101,0.048178754,0.037263903,0.044979185,0.070966466,0.077046955,0.044678444,0.058691737,0.048634417,long_blink
0.067476711,0.085343101,0.048178754,0.037263903,0.044979185,0.070966466,0.077046955,0.044678444,0.058691737,0.048634417,0.047878946,0.024988083,0.058200676,0.047653296,0.050839794,long_blink
0.070966466,0.077046955,0.044678444,0.058691737,0.048634417,0.047878946,0.024988083,0.058200676,0.047653296,0.050839794,0.041326545,0.028979321,0.07152366,0.06423346,0.034609699,long_blink
0.047878946,0.024988083,0.058200676,0.047653296,0.050839794,0.041326545,0.028979321,0.07152366,0.06423346,0.034609699,0.093710005,0.099021777,0.055407591,0.043687962,0.058819571,long_blink
0.041326545,0.028979321,0.07152366,0.06423346,0.034609699,0.093710005,0.099021777,0.055407591,0.043687962,0.058819571,0.049237662,0.05724956,0.066112832,0.053411681,0.067610419,long_blink
0.093710005,0.099021777,0.055407591,0.043687962,0.058819571,0.049237662,0.05724956,0.066112832,0.053411681,0.067610419,0.049495356,0.047992145,0.038399971,0.062460876,0.057052216,long_blink
0.049237662,0.05724956,0.066112832,0.053411681,0.067610419,0.049495356,0.047992145,0.038399971,0.062460876,0.057052216,0.040372689,0.053888867,0.062048109,0.056611444,0.035134971,long_blink
0.049495356,0.047992145,0.038399971,0.062460876,0.057052216,0.040372689,0.053888867,0.062048109,0.056611444,0.035134971,0.04384768,0.0636628,0.046070987,0.052746569,0.041662975,long_blink
0.040372689,0.053888867,0.062048109,0.056611444,0.035134971,0.04384768,0.0636628,0.046070987,0.052746569,0.041662975,0.085210476,0.060033907,0.059404883,0.045437686,0.047754247,long_blink
0.04384768,0.0636628,0.046070987,0.052746569,0.041662975,0.085210476,0.060033907,0.059404883,0.045437686,0.047754247,0.033179397,0.06092293,0.044159616,0.039035541,0.059884487,long_blink
0.085210476,0.060033907,0.059404883,0.045437686,0.047754247,0.033179397,0.06092293,0.044159616,0.039035541,0.059884487,0.061971384,0.097766933,0.087177599,0.051879655,0.081628855,long_blink
0.033179397,0.06092293,0.044159616,0.039035541,0.059884487,0.061971384,0.097766933,0.087177599,0.051879655,0.081628855,0.088844607,0.050503046,0.031830688,0.03446172,0.047367352,long_blink
0.061971384,0.097766933,0.087177599,0.051879655,0.081628855,0.088844607,0.050503046,0.031830688,0.03446172,0.047367352,0.03819406,0.035208571,0.074058017,0.045332305,0.033104993,long_blink
0.088844607,0.050503046,0.031830688,0.03446172,0.047367352,0.03819406,0.035208571,0.074058017,0.045332305,0.033104993,0.027709561,0.037701996,0.026750818,0.042723443,0.039097657,long_blink
0.05357099,0.056658262,0.071405475,0.070535701,0.074103005,0.08354153,0.08766617,0.095211869,0.085043597,0.141186867,0.133482659,0.141055456,0.165559663,0.138784598,0.133261704,long_blink
0.08354153,0.08766617,0.095211869,0.085043597,0.141186867,0.133482659,0.141055456,0.165559663,0.138784598,0.133261704,0.141710852,0.14644663,0.140309461,0.140624796,0.154690842,long_blink
0.133482659,0.141055456,0.165559663,0.138784598,0.133261704,0.141710852,0.14644663,0.140309461,0.140624796,0.154690842,0.148287423,0.124725063,0.127374617,0.130711119,0.131662397,long_blink
0.141710852,0.14644663,0.140309461,0.140624796,0.154690842,0.148287423,0.124725063,0.127374617,0.130711119,0.131662397,0.13889361,0.141291628,0.133148878,0.119505144,0.123335361,long_blink
0.148287423,0.124725063,0.127374617,0.130711119,0.131662397,0.13889361,0.141291628,0.133148878,0.119505144,0.123335361,0.134545135,0.117564349,0.160855206,0.155103665,0.155353069,long_blink
0.13889361,0.141291628,0.133148878,0.119505144,0.123335361,0.134545135,0.117564349,0.160855206,0.155103665,0.155353069,0.154872123,0.145408564,0.13278115,0.12305783,0.11229793,long_blink
0.134545135,0.117564349,0.160855206,0.155103665,0.155353069,0.154872123,0.145408564,0.13278115,0.12305783,0.11229793,0.150679096,0.14002363,0.13257997,0.150171516,0.160934779,long_blink
0.154872123,0.145408564,0.13278115,0.12305783,0.11229793,0.150679096,0.14002363,0.13257997,0.150171516,0.160934779,0.176717705,0.158597209,0.186124924,0.18238614,0.174629276,long_blink
0.150679096,0.14002363,0.13257997,0.150171516,0.160934779,0.176717705,0.158597209,0.186124924,0.18238614,0.174629276,0.160993918,0.153124037,0.160474244,0.150206268,0.156667325,long_blink
0.176717705,0.158597209,0.186124924,0.18238614,0.174629276,0.160993918,0.153124037,0.160474244,0.150206268,0.156667325,0.149177408,0.129220793,0.151814334,0.150013845,0.160166582,long_blink
0.160993918,0.153124037,0.160474244,0.150206268,0.156667325,0.149177408,0.129220793,0.151814334,0.150013845,0.160166582,0.179255214,0.180695171,0.21135984,0.252609508,0.197242659,long_blink
0.149177408,0.129220793,0.151814334,0.150013845,0.160166582,0.179255214,0.180695171,0.21135984,0.252609508,0.197242659,0.202718734,0.220644983,0.237239174,0.178194836,0.205822443,long_blink
0.179255214,0.180695171,0.21135984,0.252609508,0.197242659,0.202718734,0.220644983,0.237239174,0.178194836,0.205822443,0.24183297,0.259745574,0.213182648,0.268747108,0.361765207,long_blink
